verdict,confidence,layer_used,store_name,store_image,comp_name,comp_image,comp_price,comp_source,feature_details,faiss_score,lex_score,llm_reasoning,product_type,brand,salla_category
duplicate,0.4976190476190476,REVERSE-LOOKUP-FOUND,مجموعة لافيرن مس لافيرن بلوم 100 مل,https://cdn.salla.sa/QNvEG/95f99c30-1ba2-4025-a80f-a3334e4ec568-773.7556561086x1000-i8VrjMUyuSEpJbmQHuNEDJFmh9H8u3qTcVW39fc6.jpg,مجموعة لا في إيه بيل 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/fdcd89d8-1b84-49c6-9191-781c809afdb9-500x500-e4RSVcY8N3Q5WNgv4AMxo88v7xJWMVrPj1Vb3sF5.png",793,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,,
duplicate,0.16119469026548672,REVERSE-LOOKUP-FOUND,دولسي جابانا ذا اونلي ون اودي بارفيوم نسائي 100 مل + عطر سكب 5 مل + عطر بخ 10 مل,https://cdn.salla.sa/QNvEG/5a595d40-66ac-4251-9905-42c117d3bd64-1000x1000-1Nikhgpap6qDvY6ggentvIrYTme22xLuhlmUVCnQ.png,مجموعة عطر باكو رابان مليون جولد النسائي او دي بارفيوم 90 مل + عينة 20 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b552dd7b-df15-438d-b25a-7eb494c226eb-500x500-tZAoVVpgLFe5qEJlGnsmMXdR9zMHYqcJ6tQSRD57.png",540,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,باكو رابان,
duplicate,0.9346153846153846,GOLDEN-HIGH,عطر جيفنشي هوت كوتور أو دو تواليت 100 مل,https://cdn.salla.sa/QNvEG/7247563d-42e4-44fb-a18d-a54de8673177-800x1000-7IDc1qFT0MzjdymxretE9SUZmipO7jpnyAZ8ZH0k.png,عطر جيفنشي هوت كوتور او دو تواليت 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a902fa7e-9330-4d0f-a063-97d11d52aa23-500x500-UEiZ6WKKqSFZWMGzOZbJ59Uh8P1YXpg06IR21yB6.png",402,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,جيفنشي,
duplicate,0.3703846153846154,REVERSE-LOOKUP-FOUND,عطر توم فورد فانيلا سينسورد أو دو بارفيوم 50مل,https://cdn.salla.sa/QNvEG/65f41f0b-a883-4197-8560-409c1bb64dd1-1000x1000-ss2jROEUCORCwq1ess6UHlHaxpAi6yXADpmdcpNQ.jpg,عطر توم فورد فانيلا سكس أو دو بارفان للجنسين 30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5db80e1f-e111-4b10-9170-1244f118bdfc-500x500-wJGPh7FpfEwLTa3BqWqPMOrztvQs8PGOd0ZpH8aS.png",908,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,توم فورد,
duplicate,0.42911764705882355,REVERSE-LOOKUP-FOUND,عطر توم فورد توسكان ليذر او دو بارفيوم 50مل,https://cdn.salla.sa/QNvEG/38aaaf50-eca9-4ac0-b38f-9b055120e49b-1000x1000-lFMgz1U9MltZs3ts7NugpVC67lSzok5uFDHoVLAj.jpg,عطر توم فورد توسكان ليذر او دو بارفيوم 30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/853c18e1-b874-4ea8-a4f0-3b23833ba25c-500x500-AItkd7EZZS39TBqZOi0569Kx7kcCGo1Amg5i9d9P.png",732,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,توس,
duplicate,0.4145918367346939,REVERSE-LOOKUP-FOUND,عطر توم فورد عود وود أو دو بارفيوم 100 مل,https://cdn.salla.sa/QNvEG/0e60c957-3d93-4541-bc02-2acdf7ed489b-1000x1000-Dh6rcmwwJXCRhoG6JLlGCglVoOdlq4lGKQwQjdwB.jpg,عطر توم فورد عود وود او دو بارفيوم 30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b4c9f3c2-62e7-4915-996f-bc44ba714c0e-500x500-T6iHrOiTeDXkxsfwsBsttFCvkmWvZYOQa2XMbiP4.png",690,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,توم فورد,
duplicate,0.3302380952380952,REVERSE-LOOKUP-FOUND,تستر توم فورد فوجير دارجان أو دو بارفيوم 100مل,https://cdn.salla.sa/QNvEG/203f93e4-7fc6-46c6-a7a0-a1402e9922bf-1000x1000-HPX7wFLbe95P8PsEjh9g4dYriwlAF9usaT7ddiol.jpg,توم فورد سانتال بلاش أو دي بارفان سبراي 30 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/331f5f8e-9001-4e19-9cb8-8a72677838a7-500x500-u0vQrW5gU4jpdt44pCkY8wpz6a24m0wZEafbCqU9.png",678,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,توم فورد,
duplicate,0.36423076923076925,REVERSE-LOOKUP-FOUND,عطر توم فورد فانيلا سينسورد أو دو بارفيوم 50مل,https://cdn.salla.sa/QNvEG/65f41f0b-a883-4197-8560-409c1bb64dd1-1000x1000-ss2jROEUCORCwq1ess6UHlHaxpAi6yXADpmdcpNQ.jpg,عطر توم فورد سولاي سوليل بلانك او دو بارفيوم 30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ddb9744c-286f-4109-be83-e45ecbb7bdff-500x500-3Cvrnytyg4GFRG630MuUCbfQ35VezgmDyg9OPKq2.png",615,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,توم فورد,
duplicate,0.3192105263157895,REVERSE-LOOKUP-FOUND,معطر للجسم توم فورد بلاك أوركيد 150مل,https://cdn.salla.sa/QNvEG/5e45eb3e-a5d4-4c2e-afe9-30c3a04ba775-1000x1000-3sRuRuHW9VUl7yowaX92VOWovTYxSn0albpq0qPG.jpg,توم فورد توباكو فانيل 30 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bdb226e1-990d-482c-b038-2fb0fb004f44-500x500-6kc2SD2oqGDu4r9Lp6Kq49lZCJ1YNrbGz9FWlrNO.png",552,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,توم فورد,
duplicate,0.4841463414634147,REVERSE-LOOKUP-FOUND,عطر يونيك لكجري هيدن أكوردز إكسترايت دي بارفيوم 100 مل,https://cdn.salla.sa/QNvEG/885eecb8-b5fb-49eb-9927-74dedecea75f-1000x1000-r2swuXqm0hbkLIbiNuHddl0Wzmwt5x3F4n8eRqfT.png,عطر عود باراديس بارفيوم من فرانك اولفير - 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f758589d-683b-46d4-934f-32030592b389-500x500-yYtuI8Fxi61ZcXjt7aPAF6RBVgGzspJA6IBJTlad.png",124,/home/ubuntu/upload/متجرساراءميكاب.csv,,0.0,0.0,,perfume,,
