بيانات المنتج,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
النوع ,أسم المنتج,تصنيف المنتج,صورة المنتج,وصف صورة المنتج,نوع المنتج,سعر المنتج,الوصف,هل يتطلب شحن؟,رمز المنتج sku,سعر التكلفة,السعر المخفض,تاريخ بداية التخفيض,تاريخ نهاية التخفيض,اقصي كمية لكل عميل,إخفاء خيار تحديد الكمية,اضافة صورة عند الطلب,الوزن,وحدة الوزن,الماركة,العنوان الترويجي,تثبيت المنتج,الباركود,السعرات الحرارية,MPN,GTIN,خاضع للضريبة ؟,سبب عدم الخضوع للضريبة,[1] الاسم,[1] النوع,[1] القيمة,[1] الصورة / اللون,[2] الاسم,[2] النوع,[2] القيمة,[2] الصورة / اللون,[3] الاسم,[3] النوع,[3] القيمة,[3] الصورة / اللون
منتج,عطر ماجيك من ستيفانو 100مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a13db61d-e420-4bb8-95f6-fa406d89b7f2-500x500-Ua2bS3M0pCrn04ilzVsip67cltPDsnv4kS83Ties.jpg",عطر ماجيك من ستيفانو 100مل,منتج جاهز,159,<p>عطر ماجيك من ستيفانو 100مل</p>,نعم,,,,,,,,,0.5,kg,ستيفانو,,,,,,,,,,,,,,,,,,,,
منتج,جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bb6eefef-4466-4205-b4b4-7bd191827dfb-500x500-k8VKXmw2WrTIvsf6Bs8ChuoA3kHY2utbRIekdxV7.png",جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,منتج جاهز,95,<p>جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,"بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة",العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/41b9f3fb-7c65-419f-9adb-8e01f3d6eac4-500x500-JwAMn1snU0HTmMtgBBhSDPhmwoXnNMj04GY1PTgj.png","بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة",منتج جاهز,80,"<p>بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة</p>",نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,كريم أساس اير مات من بورجوا - 03 لايت بيج,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/31461696-43c3-462b-bf2d-58193d955e42-500x500-O4QrWQgHVRnHbWUN6ru7BvORrmMjdvdxlzoQXgVz.png",كريم أساس اير مات من بورجوا - 03 لايت بيج,منتج جاهز,55,<p>كريم أساس اير مات من بورجوا - 03 لايت بيج</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/cda06362-75c5-492e-b524-bafae90bafc3-500x500-H9MVggTJe6Hs4ph3fpUdvWCMoiK7Qa3YMd3SkAaU.png",فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل,منتج جاهز,164,<p>فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/69d1a149-dba8-48dc-8260-2263ae4c134a-500x500-czsEpWoMsNuqvPtzSiYTVkksB7D2FTQyaFA3VVZl.png",توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل,منتج جاهز,362,<p>توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل</p>,نعم,,,,,,,,,0.5,kg,توم فورد,,,,,,,,,,,,,,,,,,,,
منتج,عطر روز بريك من توم فرود اودي بارفيوم30مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/cb3f6129-bcef-475c-9ec0-d6e037cdde62-500x500-1FWiIGBZBrfV0C5Cq3TT8PshNUvRXlYRgK2vkUNO.png",عطر روز بريك من توم فرود اودي بارفيوم30مل,منتج جاهز,753,<p>عطر روز بريك من توم فرود اودي بارفيوم30مل</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
منتج,توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0f6d49c9-b581-45b4-aff3-35ed4b530a7f-500x500-HDDUfwWcCRx8sgaYkcV3MNvnl9IIXnUmn6eapgUL.png",توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل,منتج جاهز,362,<p>توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل</p>,نعم,,,,,,,,,0.5,kg,توم فورد,,,,,,,,,,,,,,,,,,,,
منتج,معطر جسم توم فورد توسكان ليذر 150مل,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5a3548e8-6c56-492c-81ba-22362c1377bd-500x500-cfpekdPt9lQgRULzOlnmkfXMmTOhhSuRB9qw78UA.png",معطر جسم توم فورد توسكان ليذر 150مل,منتج جاهز,347,<p>معطر جسم توم فورد توسكان ليذر 150مل</p>,نعم,,,,,,,,,0.5,kg,توس,,,,,,,,,,,,,,,,,,,,
منتج,ماسكرا تكثيف وتطويل الرموش من لوكا - 7جرام | 01 Dark Black,العطور,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e52acba2-6659-444b-b853-78b76d78c678-500x500-jcNHdoLATbz9Tlk3FhY3IFeIvaIjwwnqz9W0hDjw.png",ماسكرا تكثيف وتطويل الرموش من لوكا - 7جرام | 01 Dark Black,منتج جاهز,25,<p>ماسكرا تكثيف وتطويل الرموش من لوكا - 7جرام | 01 Dark Black</p>,نعم,,,,,,,,,0.5,kg,,,,,,,,,,,,,,,,,,,,,
